date,open,high,low,close,volume
2021-12-27 00:00:00+05:30,428.65,434.85,419.15,432.8,589846
2021-12-28 00:00:00+05:30,433.0,439.95,432.3,435.3,532862
2021-12-29 00:00:00+05:30,436.0,436.0,425.6,430.3,598761
2021-12-30 00:00:00+05:30,432.3,434.95,428.75,432.2,667589
2021-12-31 00:00:00+05:30,433.0,440.05,430.95,437.45,634761
2022-01-03 00:00:00+05:30,436.05,443.9,436.05,441.45,349612
2022-01-04 00:00:00+05:30,441.45,443.05,435.05,436.05,535329
2022-01-05 00:00:00+05:30,435.8,450.0,434.4,443.05,1154263
2022-01-06 00:00:00+05:30,440.15,444.25,433.75,441.15,914616
2022-01-07 00:00:00+05:30,438.1,448.5,438.0,444.8,1091678
2022-01-10 00:00:00+05:30,442.05,446.95,439.0,445.05,759025
2022-01-11 00:00:00+05:30,441.0,451.95,438.45,444.05,1864439
2022-01-12 00:00:00+05:30,443.05,449.35,442.4,444.5,781432
2022-01-13 00:00:00+05:30,443.95,450.75,442.8,448.65,1639648
2022-01-14 00:00:00+05:30,445.6,451.95,445.0,446.65,1133406
2022-01-17 00:00:00+05:30,443.7,450.7,443.5,444.6,889473
2022-01-18 00:00:00+05:30,446.95,451.75,416.3,435.3,2445048
2022-01-19 00:00:00+05:30,437.0,439.6,429.05,435.55,1461755
2022-01-20 00:00:00+05:30,436.0,436.0,427.1,433.85,1577796
2022-01-21 00:00:00+05:30,432.65,433.8,418.05,420.05,1487786
2022-01-24 00:00:00+05:30,420.0,421.2,405.0,412.6,826559
2022-01-25 00:00:00+05:30,408.8,425.6,397.15,420.25,863783
2022-01-27 00:00:00+05:30,417.9,417.9,408.5,411.95,2238682
2022-01-28 00:00:00+05:30,412.4,422.35,411.95,414.85,1670053
2022-01-31 00:00:00+05:30,417.9,427.55,413.35,424.45,3276800
2022-02-01 00:00:00+05:30,427.2,427.9,410.65,414.8,2570821
2022-02-02 00:00:00+05:30,415.5,417.95,409.55,412.55,3177292
2022-02-03 00:00:00+05:30,414.0,414.0,405.7,411.65,1657387
2022-02-04 00:00:00+05:30,412.0,417.8,410.5,413.0,665129
2022-02-07 00:00:00+05:30,414.0,414.65,408.6,409.7,919414
2022-02-08 00:00:00+05:30,410.0,411.3,404.35,406.2,849599
2022-02-09 00:00:00+05:30,407.4,412.0,405.85,406.85,1492958
2022-02-10 00:00:00+05:30,407.0,407.4,396.05,398.05,1351120
2022-02-11 00:00:00+05:30,398.0,398.05,382.65,385.2,1298647
2022-02-14 00:00:00+05:30,383.0,383.0,368.0,369.8,2397379
2022-02-15 00:00:00+05:30,373.0,381.65,354.4,380.0,6432331
2022-02-16 00:00:00+05:30,386.5,401.2,379.25,398.45,2931909
2022-02-17 00:00:00+05:30,398.45,401.85,390.5,394.95,1959651
2022-02-18 00:00:00+05:30,390.3,393.65,381.2,391.3,2231774
